account_id,customer_id,account_type_id,branch_id,account_open_date,account_close_date,account_status,created_by,updated_by,created_date,updated_date,account_number,ACCOUNT_APPLICATION_ID
84,31337,2,28620,2020-06-27,,Open,Cody Jones,Beth Bullock,2021-11-04,2021-08-12,4005701401,273
85,59416,15,29865,2021-01-08,,Open,Sophia Hicks,Paige Clark,2019-05-24,2020-12-09,4795450970,274
86,37528,1,17783,2018-06-18,,Open,Kimberly Parker,Karen Bailey,2019-03-07,2021-01-28,858449133,275
87,84702,11,28641,2022-08-20,,Open,Kenneth Munoz,Samantha Manning,2019-10-15,2022-05-01,6431634020,277
88,48040,13,23091,2021-12-10,2023-05-24,Close,Russell Miller,Derrick Moore,2019-01-05,2021-12-31,5022421960,279
89,97075,9,7901,2019-08-28,2022-12-19,Close,Elizabeth Nunez,Joseph West,2020-03-25,2023-05-31,1918550299,284
90,10849,13,11614,2021-03-07,2022-11-20,Close,Michael Hays,Mary Patterson,2019-07-08,2022-11-13,775662661,287
91,17240,14,23072,2022-12-28,2023-03-01,Close,Danny Marsh,Diane Proctor,2018-01-12,2022-01-27,3408815217,289
92,20462,4,14401,2021-09-26,,Open,Judith Shaw,Rachael Clements,2020-04-30,2022-08-03,730290620,291
93,56157,1,21977,2020-03-12,,Open,Tanya Parker,William King,2020-05-19,2021-07-02,4430059098,293
94,56333,15,29590,2019-07-19,2023-02-12,Close,Monica Brown,Kathy Turner,2018-11-23,2021-01-04,8394827358,294
95,87940,14,8868,2020-12-15,,Open,Michael Bowen,Kayla Davis,2022-02-06,2022-11-02,2738429257,302
96,42990,2,25987,2021-10-01,,Open,Mckenzie Lopez,David Hess,2018-03-06,2023-04-08,6049413586,316
97,52059,10,14586,2023-04-08,2023-05-01,Close,Richard Booker,Jordan Harrell,2019-04-26,2020-12-31,81457610,317
98,65795,1,2778,2020-02-17,,Open,Karen Howard,Denise Jones,2020-07-28,2021-09-14,6494519866,324
99,22613,18,8003,2023-05-16,2023-06-21,Close,Michael Ford,Zachary Harris,2018-04-15,2022-11-30,1294383055,326
100,73096,18,1126,2019-06-17,2022-09-09,Close,Chad Sandoval,Lindsey Small,2018-11-05,2022-12-31,6200322620,332
101,33666,2,28129,2020-06-13,2023-06-15,Close,Matthew Mendoza,Robin Crawford,2018-05-08,2023-04-14,9679964788,335
102,26612,2,14758,2022-03-19,,Open,Daniel Allen,Michael Salazar,2019-11-17,2022-05-18,5948361309,342
103,26112,11,18372,2018-05-17,,Open,Kathryn Abbott,Walter Baker,2021-02-04,2021-09-12,4938469592,343
104,24557,17,12029,2022-04-15,2023-01-24,Close,Ricardo Golden,Jessica Costa,2023-01-20,2021-05-22,6513279866,344
105,65154,3,27082,2021-04-29,,Open,Susan Poole,Edward Rodriguez,2022-12-07,2023-05-18,844899394,345
106,41851,16,28050,2018-07-19,,Open,Mary James,Gina Tran,2020-06-18,2021-10-08,6851905024,348
107,6773,2,16173,2019-12-25,2022-05-24,Close,Charles Stephens,Samuel Collier,2019-11-03,2023-01-24,1357129265,354
108,93179,17,2949,2021-12-03,,Open,Brianna Williams,Lauren Collins,2021-04-06,2021-02-06,2791857186,358
109,56970,12,1550,2023-04-18,,Open,Clifford Neal,Chelsea Anderson,2021-02-15,2021-12-25,8065795428,359
110,65561,7,26698,2022-10-22,2023-06-08,Close,Jackson Rodriguez,Danielle Kidd,2021-01-29,2021-10-05,1413415853,363
111,6504,8,28448,2022-12-01,2023-02-17,Close,Morgan Davidson,Charles Ramirez,2019-12-04,2022-05-05,5783384649,365
112,54474,16,5930,2018-06-03,2021-11-16,Close,Judy Maynard,Michael Adams,2020-12-27,2023-01-22,4945396130,368
113,28649,3,19689,2021-03-09,2021-05-14,Close,Anthony Stewart,Susan Mcmahon,2022-11-17,2020-11-07,306599687,371
114,56313,6,6380,2021-01-30,2023-04-03,Close,Kenneth Stanley,Cynthia Rodriguez,2020-04-13,2021-05-11,6046311185,378
115,54252,2,26877,2022-01-23,,Open,Tracie Johnson,David Meyers,2018-06-28,2022-12-03,3133102873,382
116,38055,5,8315,2021-12-24,2022-11-17,Close,Patricia Collier,Christopher Michael,2019-06-12,2021-04-17,8002631512,383
117,8144,12,18836,2022-04-20,2023-01-22,Close,Tanner Krause,Kimberly Knight,2021-12-16,2021-03-08,7754431136,386
118,82461,6,12861,2018-08-02,,Open,Deborah Cooper,Jill Barker,2021-01-14,2021-08-20,1263079734,391
119,19787,11,17090,2020-09-30,2022-07-28,Close,Lauren Hart,Darren Hernandez,2018-06-27,2022-12-07,8038931900,400
120,204,5,5163,2019-07-22,,Open,Ryan Villegas,Brianna Mcguire,2018-12-14,2022-03-29,6317130911,403
121,73415,15,5330,2019-09-25,,Open,Dylan Fischer,John Parker,2018-11-16,2022-10-09,5290329291,404
122,25511,8,4533,2022-06-16,,Open,Dana Mills,Kristen Washington,2018-08-27,2021-05-14,9804081951,406
123,53794,14,13366,2018-08-05,,Open,Christopher Martin Jr.,Erin Reed,2019-02-22,2022-01-29,4888233991,407
124,8817,11,11568,2021-12-20,2022-06-24,Close,Barbara Castillo,Joseph Wallace,2019-01-26,2021-09-26,2570744713,408
125,24050,14,28045,2022-06-11,,Open,Shannon Gonzalez,Alisha Buchanan,2019-07-23,2023-02-02,2465437978,410
126,17657,13,6588,2022-07-13,2023-02-04,Close,Joe Wilson,Adam Ibarra,2020-11-24,2022-03-10,9623754809,413
127,63790,7,25558,2019-09-28,2020-02-17,Close,Theresa Mccormick,Amy Gonzalez,2019-03-18,2021-10-21,415057391,416
128,24140,11,7457,2019-03-14,2020-05-26,Close,Ashley Mcmillan,Dr. Darlene Jones,2018-01-28,2021-07-04,9133432586,418
129,19115,9,26125,2019-01-16,,Open,Scott Phillips,Evelyn Harris,2023-06-08,2021-03-13,3801977967,422
130,74232,14,20127,2022-01-27,2023-05-18,Close,Pamela Holt,Sherry Rodriguez,2020-10-01,2021-06-28,7100309022,429
131,89264,2,14980,2022-09-30,2023-02-23,Close,Samuel Farrell,Andrew Jones,2020-06-17,2022-06-29,6815202050,430
132,61113,10,18085,2021-12-22,2022-12-25,Close,Michael Fletcher,Brittany Banks,2023-03-13,2021-11-24,1451495567,434
133,49199,6,29965,2022-10-05,,Open,Antonio Sanchez,Curtis Bender,2018-09-05,2022-05-05,9084166576,435
134,62627,7,1746,2023-01-03,2023-05-14,Close,Chelsea Rice,Diana Terrell,2021-10-06,2023-03-24,4028552685,437
135,35194,9,12724,2019-01-01,,Open,Jacqueline Johns,Kathleen Craig,2020-10-29,2022-06-23,9805638113,441
136,15171,2,6014,2021-07-05,,Open,Roy Nguyen,Briana James,2019-10-13,2022-11-16,2953245519,442
137,66565,1,23549,2021-08-25,,Open,Nancy Mullins,Linda Wright,2018-11-21,2021-03-15,5657787507,443
138,21127,14,3141,2022-02-23,,Open,Jessica Simmons,Stacey Oneill,2018-01-24,2021-01-24,1182728935,447
139,65433,12,4186,2020-05-23,2021-05-27,Close,Margaret Allen,Spencer Watson,2021-10-30,2021-07-31,2166471831,448
140,97425,13,8401,2020-08-20,2021-01-20,Close,James Kirk,Daryl Collins,2021-02-02,2021-12-27,2471212719,450
141,66805,14,8051,2018-08-15,2023-04-28,Close,Randy Kemp,Teresa Day,2020-11-28,2022-05-04,506188317,451
142,21614,13,25659,2020-02-20,2021-07-13,Close,Carrie Miles,Ashley Robinson,2019-10-13,2022-04-20,3676716470,453
143,93365,17,5633,2023-02-13,,Open,Amanda Martin,Kathleen Rich,2023-03-19,2021-10-09,1953842348,454
144,74908,10,10991,2019-12-07,2020-03-23,Close,Steven Brown,Anthony Moore,2018-08-25,2022-03-28,5495316299,465
145,90940,12,21727,2022-09-22,,Open,Nicholas Porter,Melissa Gill,2022-05-20,2021-09-20,6089048666,466
146,40841,17,15353,2023-03-08,2023-05-15,Close,Melissa Clark,Debra Jenkins,2019-05-22,2022-06-29,6795312324,468
147,89982,14,24519,2018-05-04,2020-08-01,Close,Virginia Miller,Bob Carter,2019-06-22,2022-05-05,8384402237,469
148,72449,8,12013,2020-07-07,2020-12-03,Close,Stephanie Anderson,Christopher Garcia,2022-07-10,2020-10-27,8134004580,470
149,59482,14,18383,2018-07-11,2019-09-21,Close,Denise Paul,Amanda Russell,2021-04-27,2021-01-30,9835283524,481
150,61459,14,9936,2020-05-06,2021-08-16,Close,Mark Martin,Michelle Stone,2018-10-24,2023-02-18,4701045003,484
151,22973,14,26675,2019-07-17,2020-10-14,Close,Mary Chung,Michael Riley,2020-03-03,2022-08-31,9017335471,489
152,69521,18,11450,2023-01-26,,Open,Lauren Contreras,Edward Levy,2018-11-29,2023-01-31,145744152,496
153,13399,5,27777,2018-08-26,,Open,Ryan Ortiz,Timothy Price,2022-06-04,2022-10-20,4088823782,511
154,56989,1,17983,2023-06-08,2023-06-16,Close,William Dunn,Maria Taylor,2022-01-01,2020-11-08,6246254920,513
155,40441,6,1171,2021-08-30,,Open,Melanie Arroyo,Kathryn Reed,2018-10-27,2021-09-29,9456690133,514
156,32787,16,11314,2021-07-17,,Open,Laura Franklin,Audrey Williams,2021-12-03,2022-09-17,2678728893,517
157,3830,4,2916,2018-04-29,,Open,Haley Lopez,Melissa Moody,2022-12-31,2021-02-15,6697725003,521
158,29040,6,14523,2018-12-18,2022-04-18,Close,Lauren Cantrell,Miguel Bradford,2018-07-18,2022-06-09,2952431733,524
159,78008,4,19307,2022-06-21,,Open,Andrea Carpenter,Kimberly Thomas,2022-02-07,2020-10-11,7509145771,526
160,57677,14,19719,2019-07-02,2022-12-02,Close,Cheryl Peters,Angela Brown,2021-09-02,2021-12-03,353143226,529
161,11236,3,6515,2020-03-07,,Open,Billy Gutierrez,Kimberly Torres,2018-12-14,2023-01-13,2866291938,532
162,61647,10,14342,2018-12-04,2022-12-08,Close,Hannah Garcia,Monica Chang,2019-04-17,2021-07-23,1265867444,533
163,99472,8,23524,2020-10-09,2023-05-10,Close,Craig White,Karen Herrera,2022-08-03,2021-04-28,169014770,536
164,28590,3,29889,2022-12-23,,Open,Mrs. Tammy Fields DVM,Sherri Padilla,2023-04-20,2023-05-27,350179427,540
165,16814,9,828,2022-02-01,2023-01-18,Close,Russell Shelton,Aaron Ramirez,2019-02-04,2023-04-01,3702184580,541
166,65121,5,25555,2022-07-14,2023-04-24,Close,Mrs. Nancy Ramos DDS,Sean Smith,2018-02-14,2022-07-24,9671491681,542
167,56988,3,10368,2018-09-06,2020-02-12,Close,Brittany Thomas,Jacqueline Perez,2019-06-14,2021-05-17,5030666702,544
168,9766,10,8134,2020-05-05,,Open,Matthew Smith,Glenn Douglas,2018-03-29,2022-04-25,438243662,545
169,49974,9,335,2019-04-10,,Open,Lisa Carter,Lori Adams,2022-10-26,2022-07-05,8905856398,546
170,31037,2,28606,2018-12-31,2020-12-29,Close,Curtis Schaefer,Joseph Allen,2019-03-17,2022-07-12,4988564154,548
171,31983,3,1400,2019-06-15,,Open,Kellie Rodriguez,Austin Collins,2020-11-08,2023-01-05,592270188,549
172,47909,15,86,2018-03-29,,Open,Jason Chambers,Jeffrey Cooper,2023-05-17,2023-06-12,4122367059,550
173,50229,6,12593,2019-03-10,,Open,Leah Miller,Jeremy Fuller,2019-08-07,2022-05-14,1176856524,552
174,21083,1,28526,2019-09-19,,Open,Sierra Bryant,Tammy Reyes,2020-03-20,2021-05-12,7503164521,555
175,26317,8,11154,2018-11-27,,Open,Erica Gonzales,Patrick Jackson,2020-09-03,2021-05-09,8645421545,557
176,33880,8,23930,2019-05-24,,Open,Christopher Malone,Stacey Williams,2021-05-04,2021-06-03,1365209480,560
177,52627,13,25072,2019-07-08,,Open,Ms. Veronica Lewis,Andrew Winters,2018-07-06,2021-09-03,6109152824,561
178,76882,8,29845,2019-11-01,,Open,Bryan Fletcher,Eric Schmidt,2021-08-21,2022-09-29,5909896421,562
179,25568,2,28213,2018-11-03,,Open,Leon Merritt,Jerry Reeves,2019-12-03,2023-06-13,6031504268,563
180,80981,4,21349,2022-04-14,,Open,Joanne Torres,Sean Martinez,2021-11-22,2020-11-18,8861344802,564
181,87145,18,920,2022-01-19,2022-01-22,Close,Hannah Briggs,Amy Dyer,2018-02-12,2021-11-11,5307112500,565
182,91835,11,7216,2021-03-19,2022-02-09,Close,Yvonne Torres,Matthew Keith,2019-01-14,2020-12-01,4572375342,569
183,43585,4,13804,2018-07-27,,Open,Summer Weiss,Jonathan Mcdonald,2019-05-23,2022-04-24,3165494913,570
184,94196,3,1267,2022-04-07,,Open,Grant Nelson,Cristina Bell,2021-12-20,2020-12-03,1346384117,572
185,53244,1,18784,2019-12-18,2022-06-09,Close,Angela King,Amy Liu,2020-06-29,2021-05-04,6704135929,578
186,37913,9,16727,2023-01-12,2023-04-12,Close,Donna Aguilar,Brandon Clark,2018-08-13,2022-03-02,4277168089,581
187,53859,13,1484,2019-01-15,,Open,Christine Yates,Tammy Sharp,2018-04-27,2021-11-25,6994794636,582
188,40471,17,7890,2019-11-15,,Open,Colleen Thomas,David Mays,2023-01-31,2022-09-21,8735302824,586
189,66375,7,27690,2022-12-07,,Open,Catherine Roberts,Elaine Morales,2022-03-22,2022-03-16,9294856434,592
190,983,18,6132,2021-04-16,,Open,Andrea Lutz,Emily Huff,2022-08-01,2023-06-16,2440937347,596
191,12848,3,10637,2019-05-18,2022-08-19,Close,Norman Jensen,Jeffrey Guzman,2021-11-28,2020-10-03,9411800729,597
192,74449,5,28670,2018-05-02,2022-10-05,Close,Johnathan Morris,Adam Hill,2020-10-10,2023-02-01,3442306029,599
193,37458,18,9556,2019-04-09,2021-04-22,Close,Aaron Hebert,Beverly Mcdonald,2021-08-21,2021-09-30,9100382954,600
194,65214,18,24338,2021-05-13,,Open,Sharon Kim,Nathan Miller PhD,2019-09-12,2022-05-30,545654317,604
195,95738,13,8854,2022-09-28,,Open,Patricia Hammond,Abigail Weiss,2019-07-19,2023-03-31,1214032863,608
196,97440,2,7742,2018-03-07,,Open,William Lester,Darren Jacobson,2021-12-01,2021-12-02,204245914,609
197,15278,6,12518,2018-09-28,,Open,Victoria Neal,Rebecca Berger,2021-07-22,2023-04-29,57641490,614
198,55369,9,28159,2022-04-14,2023-02-08,Close,Mark Jenkins,Nicholas Mitchell,2020-04-11,2023-03-26,6868918626,617
199,72138,10,18425,2022-06-19,2023-03-18,Close,Timothy Rogers,Kayla Delgado,2019-01-25,2022-01-30,285370155,618
200,63627,4,24196,2020-11-19,2022-02-17,Close,Justin Miller,Ashley Leon,2018-08-28,2020-10-31,3019754011,623
201,56119,18,23290,2018-03-12,,Open,Ashlee Scott,William Horton,2020-06-10,2022-04-15,2532981593,625
202,89685,15,1167,2019-01-24,,Open,Joshua Diaz,Anna Rodriguez,2020-10-09,2022-03-21,3532411242,626
203,14627,16,14894,2023-02-20,,Open,Alan Baker,Cynthia West,2020-10-28,2021-03-25,1141787626,628
204,286,11,29656,2023-01-02,,Open,Katie Ponce,Christian Perez,2022-07-13,2021-10-07,5151691672,631
205,86725,6,23454,2022-12-13,,Open,Tony Baker,Kimberly French,2020-10-10,2022-12-12,50187206,632
206,8685,17,10028,2018-12-02,2019-02-26,Close,Kelly Thornton,Sarah Sims,2019-12-20,2022-01-04,8260474037,633
207,67973,5,9255,2020-06-29,2021-04-18,Close,Gerald Leonard,Jill Rios,2019-09-28,2020-11-02,6515735232,637
208,33374,4,511,2018-04-15,2021-01-29,Close,Mariah Hensley,Richard Perez,2020-10-17,2021-03-07,2465992443,639
209,14827,14,19301,2022-07-29,,Open,Paul Ramirez,Shawn Olson,2018-07-25,2021-04-19,5508998102,641
210,72266,15,9716,2020-06-18,,Open,Jeffery Thompson,Beth Mercado,2022-10-18,2023-03-22,8350870502,642
211,43937,15,17153,2023-03-17,,Open,Christy Young,Alyssa Wolf,2019-11-17,2022-10-05,9239213746,643
212,72305,15,11729,2021-09-11,2023-04-30,Close,Kathy King,Cathy Porter,2020-08-20,2022-11-11,913407985,649
213,99517,8,13617,2022-12-25,2023-03-02,Close,Brittany Myers,Adam Ross,2020-01-13,2023-03-21,7742824380,652
214,97193,2,18913,2020-08-28,2021-08-06,Close,Amy Freeman,Lisa Lynn,2022-01-01,2022-04-30,8519547734,654
215,14254,1,28808,2018-08-09,2020-02-13,Close,Michael Chavez,Zachary Ibarra,2019-05-03,2021-09-15,1774503026,655
216,6916,11,6780,2021-03-30,,Open,Jessica Miller,Sharon Moses,2020-02-28,2022-10-02,9388297328,656
217,35515,2,18092,2022-07-22,2023-01-07,Close,Kelsey Acosta PhD,Robert Horn,2022-05-12,2023-01-11,8145825382,657
218,2243,18,7818,2022-02-17,,Open,Cristina Taylor,Eric Scott,2022-06-26,2022-11-22,2695401532,665
219,82663,12,15491,2020-10-19,2021-09-16,Close,Steve Johnson,David Hull,2023-01-28,2023-03-14,4202338883,673
220,48352,1,19322,2019-06-25,,Open,Mr. Christopher Riley MD,Ashley Parrish,2021-05-19,2023-01-05,396023664,674
221,19201,3,27638,2020-04-06,2020-04-11,Close,Allison Smith,Noah Scott,2021-01-29,2020-11-25,9656905188,675
222,59881,4,10604,2023-05-28,,Open,Matthew Gentry,Michelle Moore DVM,2021-05-06,2020-10-06,2746905941,677
223,6408,15,22963,2019-12-12,2022-11-06,Close,William Cantu,Hunter Harris,2020-03-15,2021-01-14,5032853073,679
224,38728,9,16852,2021-11-10,,Open,Gary Lewis,James Jordan,2020-04-12,2022-01-31,2049931297,680
