card_id,account_id,customer_id,card_type,card_number,card_limit,issued_date,valid_date,card_sub_type
92,37916,,DEBIT,6130594297000172,,2020-07-27 01:39:38,2024-07-27 01:39:38,American Express
93,23163,,DEBIT,5740273408844630,,2020-09-22 07:36:19,2024-09-22 07:36:19,MasterCard
94,,16271,CREDIT,9861317752803966,7659,2023-01-15 11:44:33,2026-01-15 11:44:33,Reward
95,,12041,CREDIT,6876047669524113,8137,2021-08-06 14:58:17,2024-08-06 14:58:17,Reward
96,,28859,CREDIT,9114280001425419,6532,2021-09-20 15:51:02,2024-09-20 15:51:02,Business
97,,14586,CREDIT,11658169242257,3754,2022-12-20 14:18:29,2025-12-20 14:18:29,Reward
98,12311,,DEBIT,9657640988348229,,2021-06-23 12:13:17,2025-06-23 12:13:17,American Express
99,35309,,DEBIT,8253180178669632,,2021-12-12 15:18:24,2025-12-12 15:18:24,Discover
100,24253,,DEBIT,6473809956127823,,2020-12-21 04:21:07,2024-12-21 04:21:07,UnionPay
101,,22319,CREDIT,7538331348294023,7677,2022-02-17 22:05:14,2025-02-17 22:05:14,Business
102,,7575,CREDIT,1014356715263870,3151,2021-12-02 16:44:39,2024-12-02 16:44:39,Business
103,,28077,CREDIT,2923487132012977,2157,2021-11-11 12:21:34,2024-11-11 12:21:34,Travel
104,28786,,DEBIT,8001639708113249,,2021-08-08 09:58:35,2025-08-08 09:58:35,MasterCard
105,,15014,CREDIT,8810478094234169,5333,2021-06-05 20:30:41,2024-06-05 20:30:41,Travel
106,,23543,CREDIT,3333426141083852,8494,2020-08-03 01:51:52,2023-08-03 01:51:52,Shopping
107,,15295,CREDIT,4021389969104901,7332,2022-11-15 04:38:26,2025-11-15 04:38:26,Travel
108,,2932,CREDIT,4292776583539090,9343,2022-07-02 22:01:46,2025-07-02 22:01:46,Business
109,720,,DEBIT,5412790602544654,,2022-02-20 01:12:38,2026-02-20 01:12:38,Visa
110,23525,,DEBIT,2945555286399983,,2020-08-23 11:15:32,2024-08-23 11:15:32,Visa
111,,22401,CREDIT,9114221179193778,8031,2021-09-08 10:40:57,2024-09-08 10:40:57,Business
112,30798,,DEBIT,3182998114166964,,2023-01-05 15:27:37,2027-01-05 15:27:37,UnionPay
113,1269,,DEBIT,4005858611713533,,2023-05-24 18:56:59,2027-05-24 18:56:59,Discover
114,28362,,DEBIT,9384847548132438,,2021-03-02 06:38:28,2025-03-02 06:38:28,Discover
115,,11291,CREDIT,3526524666564087,5859,2022-02-02 18:47:20,2025-02-02 18:47:20,Reward
116,27407,,DEBIT,891375202217936,,2022-03-08 12:16:20,2026-03-08 12:16:20,Discover
117,,29160,CREDIT,2806048214011818,7974,2022-02-15 00:12:10,2025-02-15 00:12:10,Reward
118,4737,,DEBIT,7463229050322165,,2021-01-28 12:23:24,2025-01-28 12:23:24,UnionPay
119,,14038,CREDIT,629700970918094,5096,2021-06-27 05:27:52,2024-06-27 05:27:52,Shopping
120,19401,,DEBIT,946666810466829,,2021-01-01 18:50:58,2025-01-01 18:50:58,American Express
121,33952,,DEBIT,3196729906856306,,2021-01-16 20:33:22,2025-01-16 20:33:22,MasterCard
122,9992,,DEBIT,8198669802952100,,2021-08-01 12:44:11,2025-08-01 12:44:11,Visa
123,,9522,CREDIT,4158959671042926,8514,2021-07-25 21:41:28,2024-07-25 21:41:28,Business
124,,15225,CREDIT,5273697974782500,4381,2022-09-17 20:55:00,2025-09-17 20:55:00,Reward
125,5194,,DEBIT,5558985241533679,,2021-03-20 14:57:12,2025-03-20 14:57:12,Visa
126,,13975,CREDIT,6068606510330129,2453,2022-12-30 04:21:53,2025-12-30 04:21:53,Travel
127,,17006,CREDIT,8959212014172683,3321,2020-10-30 07:08:46,2023-10-30 07:08:46,Reward
128,10721,,DEBIT,4905881445877958,,2020-09-12 18:08:56,2024-09-12 18:08:56,Discover
129,37342,,DEBIT,903789248124394,,2021-04-18 20:22:46,2025-04-18 20:22:46,UnionPay
130,10253,,DEBIT,8657792423104121,,2023-03-05 17:26:07,2027-03-05 17:26:07,MasterCard
131,4978,,DEBIT,6019127271505797,,2021-09-12 06:11:15,2025-09-12 06:11:15,UnionPay
132,1117,,DEBIT,1800948365794658,,2021-04-21 15:19:58,2025-04-21 15:19:58,Visa
133,,12268,CREDIT,6155605277917147,5285,2023-04-07 18:21:26,2026-04-07 18:21:26,Shopping
134,,16841,CREDIT,4167099926830061,3973,2022-09-30 09:15:28,2025-09-30 09:15:28,Shopping
135,306,,DEBIT,6735907950504063,,2022-03-31 02:43:24,2026-03-31 02:43:24,MasterCard
136,,28543,CREDIT,5065736153954614,8880,2021-09-14 00:53:19,2024-09-14 00:53:19,Travel
137,,26125,CREDIT,3527583422139244,4627,2022-04-13 21:00:17,2025-04-13 21:00:17,Shopping
138,,27067,CREDIT,2086253423144606,8202,2022-09-19 21:44:34,2025-09-19 21:44:34,Shopping
139,17575,,DEBIT,6765983557899016,,2023-03-02 18:18:29,2027-03-02 18:18:29,Discover
140,17653,,DEBIT,4888979949220903,,2022-07-14 11:01:16,2026-07-14 11:01:16,Visa
141,5140,,DEBIT,6974615334307427,,2020-10-05 23:07:09,2024-10-05 23:07:09,Discover
142,13647,,DEBIT,4702070715833445,,2022-11-29 15:02:49,2026-11-29 15:02:49,American Express
143,34180,,DEBIT,164034859706993,,2021-03-02 19:19:38,2025-03-02 19:19:38,American Express
144,,21063,CREDIT,5520171544820292,7087,2022-07-21 06:28:27,2025-07-21 06:28:27,Travel
145,,4604,CREDIT,8085701710809410,5210,2020-07-14 21:54:10,2023-07-14 21:54:10,Reward
146,,17201,CREDIT,1147977217612197,8354,2021-12-12 04:49:00,2024-12-12 04:49:00,Shopping
147,36,,DEBIT,2708902501213208,,2020-08-06 02:53:00,2024-08-06 02:53:00,Discover
148,,18946,CREDIT,5352402514568109,3001,2021-01-23 13:54:18,2024-01-23 13:54:18,Reward
149,,24952,CREDIT,9812371980317504,2934,2020-09-19 21:00:51,2023-09-19 21:00:51,Reward
150,21277,,DEBIT,3427640274988998,,2022-09-25 20:01:20,2026-09-25 20:01:20,MasterCard
151,37944,,DEBIT,6525259365659903,,2021-10-16 20:07:56,2025-10-16 20:07:56,Visa
152,,27946,CREDIT,1383208904092694,2082,2021-03-10 03:45:18,2024-03-10 03:45:18,Shopping
153,,23329,CREDIT,6659398776469871,6638,2022-02-07 15:45:40,2025-02-07 15:45:40,Travel
154,,21946,CREDIT,6300285221819303,2313,2021-02-03 23:48:58,2024-02-03 23:48:58,Business
155,17117,,DEBIT,8017101168389670,,2021-05-03 17:04:48,2025-05-03 17:04:48,UnionPay
156,,1951,CREDIT,8319821503901975,7412,2022-09-09 14:06:09,2025-09-09 14:06:09,Business
157,,5664,CREDIT,8461363335552547,4630,2020-07-27 18:39:19,2023-07-27 18:39:19,Shopping
158,,8560,CREDIT,747392737047521,2573,2020-07-11 21:32:32,2023-07-11 21:32:32,Business
159,18023,,DEBIT,8484251018317493,,2021-06-25 03:10:24,2025-06-25 03:10:24,American Express
160,27576,,DEBIT,1316822788266848,,2022-09-22 17:35:26,2026-09-22 17:35:26,MasterCard
161,21340,,DEBIT,6942109615312863,,2022-08-02 12:16:32,2026-08-02 12:16:32,Discover
162,,22705,CREDIT,4917394269998443,5954,2021-11-13 18:34:09,2024-11-13 18:34:09,Shopping
163,,28944,CREDIT,9464158482526827,3154,2022-08-21 17:58:21,2025-08-21 17:58:21,Shopping
164,,5075,CREDIT,3040815808268633,3477,2022-09-26 13:11:16,2025-09-26 13:11:16,Business
165,37633,,DEBIT,9545371477566603,,2023-03-12 05:02:37,2027-03-12 05:02:37,Visa
166,,18697,CREDIT,9309285689030926,4352,2023-06-01 06:14:55,2026-06-01 06:14:55,Business
167,,3000,CREDIT,2677263507326379,9558,2021-02-16 04:01:17,2024-02-16 04:01:17,Shopping
168,22860,,DEBIT,6139342311076362,,2021-08-17 16:11:12,2025-08-17 16:11:12,MasterCard
169,37243,,DEBIT,3928235501529649,,2022-04-07 09:01:09,2026-04-07 09:01:09,Discover
170,7998,,DEBIT,9939589218570924,,2021-12-04 22:27:37,2025-12-04 22:27:37,UnionPay
171,19760,,DEBIT,3270234628454472,,2021-11-19 05:19:27,2025-11-19 05:19:27,UnionPay
172,,1482,CREDIT,1052107974468330,6976,2021-06-13 00:07:41,2024-06-13 00:07:41,Reward
173,35690,,DEBIT,3342237450256487,,2023-05-19 16:24:30,2027-05-19 16:24:30,American Express
174,19714,,DEBIT,6030644028523728,,2022-08-31 05:31:21,2026-08-31 05:31:21,Discover
175,29826,,DEBIT,2447414071683890,,2021-02-24 10:19:20,2025-02-24 10:19:20,Visa
176,16180,,DEBIT,4104066394137894,,2021-02-02 15:58:25,2025-02-02 15:58:25,MasterCard
177,30151,,DEBIT,2528878234139423,,2020-07-21 11:30:09,2024-07-21 11:30:09,UnionPay
178,27399,,DEBIT,7543452427144813,,2021-09-07 06:22:54,2025-09-07 06:22:54,Visa
179,31511,,DEBIT,2164643757089508,,2022-02-07 04:42:53,2026-02-07 04:42:53,MasterCard
180,8328,,DEBIT,8187318984268754,,2021-05-03 05:08:10,2025-05-03 05:08:10,MasterCard
181,,7384,CREDIT,747028866743192,5397,2020-09-05 08:35:52,2023-09-05 08:35:52,Travel
182,8133,,DEBIT,141241436613844,,2022-12-17 18:15:59,2026-12-17 18:15:59,MasterCard
183,,8181,CREDIT,860021567534027,8091,2021-03-26 00:25:39,2024-03-26 00:25:39,Business
184,24860,,DEBIT,1244597717511788,,2022-08-04 05:41:30,2026-08-04 05:41:30,UnionPay
185,16623,,DEBIT,4385479846613614,,2021-07-25 20:10:32,2025-07-25 20:10:32,Discover
186,,24002,CREDIT,6067757035126484,8322,2020-07-10 10:15:18,2023-07-10 10:15:18,Travel
187,5876,,DEBIT,2130017370522541,,2021-10-02 10:14:55,2025-10-02 10:14:55,UnionPay
188,,9951,CREDIT,3180434554958997,8310,2022-11-29 14:39:17,2025-11-29 14:39:17,Shopping
189,,23476,CREDIT,839408684733677,4166,2023-03-26 01:36:43,2026-03-26 01:36:43,Reward
190,18433,,DEBIT,1306561891964695,,2021-04-28 11:32:26,2025-04-28 11:32:26,Visa
191,38124,,DEBIT,3094036075922452,,2023-04-04 10:50:57,2027-04-04 10:50:57,Discover
192,,7932,CREDIT,5796144686162282,9932,2021-12-18 20:18:23,2024-12-18 20:18:23,Travel
193,,1049,CREDIT,496719726066403,7544,2020-11-23 03:08:32,2023-11-23 03:08:32,Reward
194,,1236,CREDIT,5978597881939165,4903,2022-04-05 12:05:51,2025-04-05 12:05:51,Travel
195,33698,,DEBIT,1036956321794561,,2021-03-06 04:23:34,2025-03-06 04:23:34,Visa
196,33394,,DEBIT,2331367361657466,,2020-10-10 15:57:21,2024-10-10 15:57:21,Visa
197,,17635,CREDIT,5513800223490441,3819,2022-01-15 03:23:17,2025-01-15 03:23:17,Reward
198,,6188,CREDIT,3997470269792839,4432,2021-08-14 09:38:07,2024-08-14 09:38:07,Business
199,7435,,DEBIT,3735887813901253,,2022-10-18 06:10:49,2026-10-18 06:10:49,Discover
200,33873,,DEBIT,7180432398246598,,2023-03-27 20:51:33,2027-03-27 20:51:33,MasterCard
201,,28622,CREDIT,9177145813851662,8639,2020-08-25 13:22:25,2023-08-25 13:22:25,Reward
202,3956,,DEBIT,1931010813371254,,2021-11-18 07:08:36,2025-11-18 07:08:36,MasterCard
203,29552,,DEBIT,3094509904446970,,2021-03-10 02:00:48,2025-03-10 02:00:48,UnionPay
204,,20601,CREDIT,7397725874131912,6209,2023-06-10 11:18:17,2026-06-10 11:18:17,Business
205,,15780,CREDIT,789752410581639,7760,2021-09-02 10:24:15,2024-09-02 10:24:15,Shopping
206,,29926,CREDIT,3028007097768853,4258,2022-02-15 16:32:55,2025-02-15 16:32:55,Shopping
207,,29328,CREDIT,3631180490231170,6666,2022-11-13 14:51:53,2025-11-13 14:51:53,Travel
208,,21390,CREDIT,1462324074245623,6830,2023-03-06 02:09:09,2026-03-06 02:09:09,Travel
209,19768,,DEBIT,9505673916187542,,2021-11-20 07:06:19,2025-11-20 07:06:19,Visa
210,687,,DEBIT,721205876355508,,2020-10-19 23:01:14,2024-10-19 23:01:14,Discover
211,9370,,DEBIT,1338534881236984,,2022-06-19 19:37:10,2026-06-19 19:37:10,MasterCard
212,,11927,CREDIT,133080039004197,5499,2023-06-20 04:43:49,2026-06-20 04:43:49,Reward
213,6278,,DEBIT,5310767972153723,,2023-06-16 22:13:26,2027-06-16 22:13:26,UnionPay
214,8951,,DEBIT,5097231161723470,,2021-07-06 15:40:28,2025-07-06 15:40:28,MasterCard
215,,23274,CREDIT,7159026889237529,6442,2022-02-27 11:56:35,2025-02-27 11:56:35,Business
216,8555,,DEBIT,8881098066604924,,2022-03-28 21:08:02,2026-03-28 21:08:02,American Express
217,10192,,DEBIT,1933120887974653,,2022-04-11 19:08:54,2026-04-11 19:08:54,American Express
218,31881,,DEBIT,2858461503426061,,2021-11-17 17:22:56,2025-11-17 17:22:56,Discover
219,33537,,DEBIT,9579224038040975,,2022-01-03 12:42:36,2026-01-03 12:42:36,MasterCard
220,,18362,CREDIT,5865795401897302,5097,2023-04-04 07:22:46,2026-04-04 07:22:46,Reward
221,,2755,CREDIT,8508517686814911,2331,2020-11-28 16:35:03,2023-11-28 16:35:03,Travel
222,25379,,DEBIT,6382183012300645,,2022-11-07 07:24:46,2026-11-07 07:24:46,Discover
223,31989,,DEBIT,5469658573202445,,2020-08-08 06:26:06,2024-08-08 06:26:06,American Express
224,14070,,DEBIT,1250261387148848,,2020-07-05 19:16:42,2024-07-05 19:16:42,American Express
225,24869,,DEBIT,4283174826420579,,2021-04-11 11:27:00,2025-04-11 11:27:00,UnionPay
226,11747,,DEBIT,386533064594944,,2022-05-30 03:09:20,2026-05-30 03:09:20,Visa
227,,16051,CREDIT,4563570998514569,3040,2021-04-09 20:09:51,2024-04-09 20:09:51,Reward
228,,23520,CREDIT,9343977944012792,7669,2021-04-21 03:29:28,2024-04-21 03:29:28,Business
229,15065,,DEBIT,2717503028242253,,2022-01-01 17:50:28,2026-01-01 17:50:28,UnionPay
230,31845,,DEBIT,9730038785961543,,2023-06-18 23:30:06,2027-06-18 23:30:06,MasterCard
231,,4408,CREDIT,5870320768931511,4198,2021-10-03 06:23:05,2024-10-03 06:23:05,Business
232,,24733,CREDIT,7942561170034237,2673,2023-01-21 07:53:38,2026-01-21 07:53:38,Shopping
233,26350,,DEBIT,8701835981863748,,2022-07-30 09:14:25,2026-07-30 09:14:25,MasterCard
234,15818,,DEBIT,6204695209949300,,2020-10-18 09:22:52,2024-10-18 09:22:52,Visa
235,2086,,DEBIT,9763220301762783,,2022-06-02 10:16:57,2026-06-02 10:16:57,Visa
236,,20501,CREDIT,3588003825697521,7130,2020-11-10 06:39:35,2023-11-10 06:39:35,Reward
237,,10395,CREDIT,8095969193457933,5318,2022-08-20 01:59:31,2025-08-20 01:59:31,Business
238,4704,,DEBIT,5738310020648105,,2021-04-05 05:11:44,2025-04-05 05:11:44,American Express
239,,10497,CREDIT,8049815789485393,6173,2022-05-04 23:28:49,2025-05-04 23:28:49,Business
240,,1146,CREDIT,6940824975449283,8823,2023-05-25 17:15:17,2026-05-25 17:15:17,Travel
241,,28552,CREDIT,6673384571053395,4753,2023-04-17 10:35:26,2026-04-17 10:35:26,Reward
242,,26724,CREDIT,5221010502564117,3324,2022-11-26 00:31:22,2025-11-26 00:31:22,Shopping
243,6922,,DEBIT,841958022598938,,2023-06-13 01:56:19,2027-06-13 01:56:19,American Express
244,,12307,CREDIT,2214727960779611,4845,2022-05-05 03:27:44,2025-05-05 03:27:44,Business
245,1419,,DEBIT,4878936017297965,,2021-06-06 06:37:23,2025-06-06 06:37:23,Visa
246,,7186,CREDIT,4173147494839389,7351,2020-07-18 20:46:01,2023-07-18 20:46:01,Reward
247,,5086,CREDIT,9193426270215341,8729,2022-09-26 03:47:52,2025-09-26 03:47:52,Reward
248,22078,,DEBIT,6908685105714641,,2021-09-14 02:05:41,2025-09-14 02:05:41,MasterCard
249,,18345,CREDIT,1991634685012760,5755,2022-10-14 02:45:28,2025-10-14 02:45:28,Shopping
250,7584,,DEBIT,1409790948028712,,2020-07-10 13:39:51,2024-07-10 13:39:51,Discover
251,,3639,CREDIT,7192305745777464,4429,2023-05-08 06:54:59,2026-05-08 06:54:59,Business
252,,6816,CREDIT,7955658866207281,6759,2023-06-16 00:24:34,2026-06-16 00:24:34,Business
253,,7487,CREDIT,178410583060930,9006,2023-06-20 00:49:09,2026-06-20 00:49:09,Business
254,6638,,DEBIT,4492164628434079,,2020-10-01 04:37:18,2024-10-01 04:37:18,UnionPay
255,38533,,DEBIT,3915128857829319,,2020-08-24 04:32:16,2024-08-24 04:32:16,UnionPay
256,17605,,DEBIT,4088640606720462,,2021-11-10 06:10:43,2025-11-10 06:10:43,American Express
257,,17092,CREDIT,2514074123048309,6436,2021-01-12 21:02:34,2024-01-12 21:02:34,Business
258,,21698,CREDIT,8867659945459891,5840,2020-10-14 02:13:01,2023-10-14 02:13:01,Travel
259,23531,,DEBIT,8991443335776262,,2021-02-28 02:42:15,2025-02-28 02:42:15,American Express
260,38845,,DEBIT,1279022116492595,,2022-09-20 13:37:46,2026-09-20 13:37:46,Discover
261,4791,,DEBIT,8291461371296717,,2021-06-22 23:07:32,2025-06-22 23:07:32,Visa
262,,7548,CREDIT,1834981889328035,3165,2020-08-18 05:38:14,2023-08-18 05:38:14,Shopping
263,35887,,DEBIT,5559522666697663,,2021-08-19 13:44:38,2025-08-19 13:44:38,MasterCard
264,,20855,CREDIT,6613428660674360,8872,2021-01-26 06:12:45,2024-01-26 06:12:45,Shopping
265,,19985,CREDIT,940640425766278,8752,2021-06-17 22:26:04,2024-06-17 22:26:04,Reward
266,,28651,CREDIT,8876139870621075,8360,2021-03-15 03:45:01,2024-03-15 03:45:01,Business
267,,27086,CREDIT,9392083908966748,8507,2022-01-18 16:05:53,2025-01-18 16:05:53,Shopping
268,,551,CREDIT,2513621522391183,4801,2020-07-10 07:20:23,2023-07-10 07:20:23,Shopping
269,,10504,CREDIT,6831645715421469,4986,2022-08-28 23:25:46,2025-08-28 23:25:46,Travel
270,24180,,DEBIT,1621927649118015,,2021-04-26 14:01:05,2025-04-26 14:01:05,UnionPay
271,18311,,DEBIT,1890843955197582,,2023-06-03 02:33:54,2027-06-03 02:33:54,UnionPay
