Customer ID,Date_col,Location,Customers,Units,Balance,Loan Applications,Overtime Hours,Overtime in Dollars,Turn Over Rate,Employee Name,Product Type,Revenue,Credit Card Decision Status,Credit Card Type,Deposit Account Status,Account Number
64,3/13/2022,Maryland,Margaret Knowles,1786,8920584,1,13,587,1,Dean England,ATV,-958713,Approved,Consumer,Non-Interest Bearing,86539428
65,7/27/2022,Oklahoma,Drew Brooks,1430,8764388,4,11,1403,3,Dean England,ATV,-497666,Declined,Consumer,Non-Interest Bearing,59830915
66,2/5/2023,Indiana,Kenyon Sherman,5360,2530850,1,1,1270,3,Dean England,ATV,-1484986,Withdrawn,Consumer,Non-Interest Bearing,61491955
67,7/1/2022,Oregon,Jason Nichols,6458,2764816,1,19,1409,4,Dean England,ATV,-1575496,Approved,Consumer,Non-Interest Bearing,87431607
68,6/15/2023,Georgia,Daquan Larsen,7535,6648512,2,1,613,4,Dean England,ATV,-1688924,Declined,Consumer,Non-Interest Bearing,73160599
69,12/27/2021,Washington,Abraham Boyle,1616,3141278,1,1,1296,1,Dean England,ATV,-363825,Withdrawn,Consumer,Non-Interest Bearing,74244368
70,8/27/2022,Pennsylvania,Ciaran Stuart,8194,1710516,4,1,1248,4,Dean England,ATV,-680691,Approved,Consumer,Non-Interest Bearing,88537703
71,12/25/2022,Wisconsin,Veronica Delaney,3765,8830019,2,10,1484,8,Dean England,ATV,-385320,Declined,Consumer,Non-Interest Bearing,62685423
72,9/15/2022,Maine,Ciaran Guzman,6043,6581943,3,14,1081,3,Dean England,ATV,-890719,Withdrawn,Consumer,Non-Interest Bearing,94941572
73,12/17/2022,Louisiana,Karina Rodriguez,5016,7136643,3,7,1337,4,Dean England,ATV,-1257770,Approved,Consumer,Non-Interest Bearing,85261153
74,2/15/2022,California,Tasha Carroll,6598,1280904,2,22,274,5,Dean England,ATV,-1786808,Declined,Consumer,Non-Interest Bearing,78980635
75,11/6/2022,California,Bethany Wong,1303,7710644,0,16,1352,7,Dean England,ATV,-1692845,Withdrawn,Consumer,Non-Interest Bearing,65866491
76,1/18/2023,Tennessee,Ezra Hale,8095,3708627,1,18,177,1,Dean England,ATV,-1158121,Approved,Consumer,Non-Interest Bearing,67318527
77,1/11/2023,Maine,Harper Valenzuela,9172,5951658,1,17,1419,6,Dean England,ATV,-543531,Declined,Consumer,Non-Interest Bearing,56873829
78,1/1/2022,Minnesota,Brooke Ortega,4078,7300184,1,11,337,7,Dean England,ATV,-1399175,Withdrawn,Consumer,Non-Interest Bearing,73664515
79,2/15/2023,Missouri,Julian Mayo,3054,3306072,1,18,1267,0,Dean England,ATV,-1442915,Approved,Consumer,Non-Interest Bearing,90611490
80,5/18/2023,Arizona,Cora Delaney,8961,7369736,3,6,129,0,Dean England,ATV,-434674,Declined,Consumer,Non-Interest Bearing,58784777
81,6/12/2022,Virginia,Colby Witt,2853,3562946,5,21,1074,2,Dean England,ATV,-1485166,Withdrawn,Consumer,Non-Interest Bearing,90629222
82,1/21/2022,Indiana,Wilma Tanner,9277,1415471,1,14,493,4,Dean England,ATV,-1732068,Approved,Consumer,Non-Interest Bearing,84295635
83,1/8/2022,Wisconsin,Raja Carroll,7194,2031190,2,23,361,6,Dean England,ATV,-469928,Declined,Consumer,Non-Interest Bearing,64470819
84,3/9/2023,California,Camden Stein,2206,1646264,1,8,1177,4,Dean England,ATV,-895386,Withdrawn,Consumer,Non-Interest Bearing,92198436
85,5/9/2023,Louisiana,Blaze Albert,8564,8160135,5,22,300,7,Dean England,ATV,-438093,Approved,Consumer,Non-Interest Bearing,96592174
86,12/31/2022,Missouri,Tasha Fuller,4347,7030926,1,13,965,5,Dean England,ATV,-1003633,Declined,Consumer,Non-Interest Bearing,78259956
87,1/20/2023,Indiana,Alisa Stanley,9428,7373183,3,18,573,5,Dean England,ATV,-918663,Withdrawn,Consumer,Non-Interest Bearing,90364883
88,3/3/2022,Connecticut,Jermaine Blanchard,5231,2252155,1,10,648,5,Dean England,ATV,-912334,Approved,Consumer,Non-Interest Bearing,74926650
89,10/29/2022,California,Gretchen Massey,2298,6389723,4,18,1323,7,Dean England,ATV,-200676,Declined,Consumer,Non-Interest Bearing,84897069
90,4/20/2022,Utah,Gary Orr,4727,2238104,2,1,926,8,Dean England,ATV,-756661,Withdrawn,Consumer,Non-Interest Bearing,94927073
91,4/28/2023,Washington,Adria Page,5185,1932375,0,22,833,2,Dean England,ATV,-1010225,Approved,Consumer,Non-Interest Bearing,70673002
92,10/27/2022,Kansas,Sara Johnson,2533,6909228,1,0,1114,6,Dean England,ATV,-1346696,Declined,Consumer,Non-Interest Bearing,96876295
93,8/2/2023,Colorado,Denton Estes,6662,2010549,1,4,155,4,Dean England,ATV,-357677,Withdrawn,Consumer,Non-Interest Bearing,95264458
94,8/29/2022,Arizona,Reuben Burgess,5429,2760677,2,8,1124,6,Dean England,ATV,-1277855,Approved,Consumer,Non-Interest Bearing,67094849
95,8/8/2022,Colorado,Pascale Bailey,5291,8787308,4,3,1108,1,Dean England,ATV,-1442651,Declined,Consumer,Non-Interest Bearing,90159016
96,5/16/2022,Minnesota,Paul Stout,8054,6204690,0,16,184,2,Dean England,ATV,-1744092,Withdrawn,Consumer,Non-Interest Bearing,75624313
97,1/14/2022,Louisiana,Alfonso Ellison,7833,5880095,4,9,1261,8,Dean England,ATV,-1472216,Approved,Consumer,Non-Interest Bearing,79073368
98,7/31/2022,Michigan,Axel Kirkland,3521,4316691,3,5,1317,7,Dean England,ATV,-1027401,Declined,Consumer,Non-Interest Bearing,83411240
99,8/25/2022,Michigan,Arsenio Massey,3128,7189962,1,14,1438,2,Dean England,ATV,-685303,Withdrawn,Consumer,Non-Interest Bearing,87813990
100,11/26/2022,Arizona,Keegan Cardenas,6761,8976064,5,2,1310,5,Dean England,ATV,-815550,Approved,Consumer,Non-Interest Bearing,69488271
101,3/25/2023,Connecticut,Galvin Phelps,5933,6360471,1,24,1164,7,Dean England,ATV,-267829,Declined,Consumer,Non-Interest Bearing,59538954
102,8/26/2022,Mississippi,Tanek Calderon,8761,5705162,1,4,1313,6,Dean England,ATV,-581318,Withdrawn,Consumer,Non-Interest Bearing,98288834
103,1/1/2023,Nevada,Jameson Mcdaniel,8608,7847560,3,2,220,7,Dean England,ATV,-1232372,Approved,Consumer,Non-Interest Bearing,72424929
104,12/31/2022,California,Noelani Montgomery,5542,3274212,1,1,1377,3,Dean England,ATV,-724123,Declined,Consumer,Non-Interest Bearing,68565721
105,10/22/2022,Iowa,Nathaniel Keller,5718,6457756,0,9,691,1,Dean England,ATV,-392043,Withdrawn,Consumer,Non-Interest Bearing,85386921
106,2/8/2023,Idaho,Rose Barrett,5400,4105834,3,8,180,3,Dean England,ATV,-420659,Approved,Consumer,Non-Interest Bearing,81075701
107,9/24/2022,Maryland,Diana Petty,3752,7939396,3,12,1296,2,Dean England,ATV,-865757,Declined,Consumer,Non-Interest Bearing,85190454
108,2/15/2023,Virginia,Katelyn Lawrence,6086,9161799,1,8,698,4,Dean England,ATV,-1487453,Withdrawn,Consumer,Non-Interest Bearing,95831428
109,8/1/2023,Texas,Travis Bradley,8300,5575085,0,16,975,7,Dean England,ATV,-744257,Approved,Consumer,Non-Interest Bearing,88670664
110,2/6/2023,Alabama,Leigh Vaughn,7161,6087810,3,13,343,2,Dean England,ATV,-1043866,Declined,Consumer,Non-Interest Bearing,73667189
111,1/20/2022,Michigan,Imani Sharp,2701,4619107,3,11,756,2,Dean England,ATV,-679925,Withdrawn,Consumer,Non-Interest Bearing,83406938
112,5/25/2023,Missouri,Cadman Maxwell,5566,2048917,4,20,738,6,Dean England,ATV,-1216884,Approved,Consumer,Non-Interest Bearing,98787994
113,8/26/2023,Nebraska,Chloe Gillespie,2283,6794719,0,18,463,4,Dean England,ATV,-718394,Declined,Consumer,Non-Interest Bearing,91806866
114,10/4/2022,Delaware,Herrod Schwartz,4213,2387191,5,8,1152,6,Dean England,ATV,-1228649,Withdrawn,Consumer,Non-Interest Bearing,63497408
115,7/24/2022,Kansas,Shad Owen,6574,5416525,0,22,1391,1,Dean England,ATV,-1628416,Approved,Consumer,Non-Interest Bearing,69627900
116,2/8/2022,Virginia,Ulric Holden,7807,6742729,5,4,1373,4,Dean England,ATV,-760001,Declined,Consumer,Non-Interest Bearing,80449077
117,6/12/2023,Connecticut,Karleigh Shepard,3312,6669184,2,2,963,1,Dean England,ATV,-465023,Withdrawn,Consumer,Non-Interest Bearing,78961486
118,2/5/2023,Washington,Dorian Battle,7759,5469536,4,19,332,7,Dean England,ATV,-352372,Approved,Consumer,Non-Interest Bearing,84931190
119,1/30/2023,Nevada,Brooke Silva,7633,7944278,2,8,998,6,Dean England,ATV,-787268,Declined,Consumer,Non-Interest Bearing,83648375
120,9/22/2022,Florida,Rhoda Contreras,7689,2145636,4,9,799,7,Dean England,ATV,-408497,Withdrawn,Consumer,Non-Interest Bearing,60154947
121,6/12/2022,Montana,Riley Shields,3103,5990222,4,13,1363,6,Dean England,ATV,-1462067,Approved,Consumer,Non-Interest Bearing,95748910
122,2/3/2023,Mississippi,Branden Mcclure,4137,7501869,2,23,1139,7,Dean England,Unsecured,-1066620,Declined,Consumer,Non-Interest Bearing,83051765
123,8/28/2022,California,Adrienne Sears,2054,5182069,4,19,662,7,Dean England,Unsecured,-1286574,Withdrawn,Consumer,Non-Interest Bearing,85689648
124,6/9/2023,Minnesota,Xanthus Stanton,3031,5310830,1,18,1102,8,Dean England,Unsecured,-300892,Approved,Consumer,Non-Interest Bearing,65650838
125,2/3/2023,Virginia,Yvonne Rich,3079,4254348,2,21,1274,7,Dean England,Unsecured,-1172111,Declined,Consumer,Non-Interest Bearing,82499442
126,9/1/2022,Maine,Carlos Wells,1402,2079600,3,9,969,0,Dean England,Unsecured,-732243,Withdrawn,Consumer,Non-Interest Bearing,88856390
127,4/11/2022,Oregon,Kasper Henderson,4474,4392459,0,21,1102,6,Dean England,Unsecured,-1234114,Approved,Consumer,Non-Interest Bearing,74739692
128,7/14/2022,Washington,Seth Mcfadden,1334,3507717,4,1,743,7,Dean England,Unsecured,-1436798,Declined,Consumer,Non-Interest Bearing,79236968
129,4/30/2022,Iowa,Risa Turner,5219,9138368,4,3,499,8,Dean England,Unsecured,-1539026,Withdrawn,Consumer,Non-Interest Bearing,98165304
130,6/5/2022,Hawaii,Gay Shelton,2267,3761533,2,1,1380,6,Dean England,Unsecured,-1717558,Approved,Consumer,Non-Interest Bearing,96776900
131,11/1/2022,Oklahoma,Dara Ewing,5721,6050181,3,19,77,7,Dean England,Unsecured,-1570924,Declined,Consumer,Non-Interest Bearing,73122854
132,2/24/2022,Washington,Charde Macdonald,1868,6652116,1,5,450,1,Dean England,Unsecured,-1412130,Withdrawn,Consumer,Non-Interest Bearing,76051010
133,3/3/2022,Alaska,Kirk Potter,5204,5181902,4,7,626,5,Dean England,Unsecured,-1374725,Approved,Consumer,Non-Interest Bearing,74634961
134,5/17/2023,Washington,Olga Daniel,6372,6613940,2,17,1376,3,Dean England,Unsecured,-1198241,Declined,Consumer,Non-Interest Bearing,60575483
135,12/31/2021,Indiana,Kristen Marsh,5154,8276613,1,2,855,4,Dean England,Unsecured,-1515941,Withdrawn,Consumer,Non-Interest Bearing,57952861
136,5/18/2022,Maryland,Sylvester Riley,8025,3124417,2,7,244,8,Dean England,Unsecured,-1663412,Approved,Consumer,Non-Interest Bearing,72552071
137,10/29/2022,Louisiana,Prescott Key,5024,4019664,1,1,1389,3,Dean England,Unsecured,-473142,Declined,Consumer,Non-Interest Bearing,92120978
138,11/21/2021,Pennsylvania,Cheryl Ellis,3069,7998489,5,6,1266,4,Dean England,Unsecured,-241925,Withdrawn,Consumer,Non-Interest Bearing,68609619
139,8/22/2022,Tennessee,Leroy Maxwell,2119,1578150,4,3,517,2,Dean England,Unsecured,-1277274,Approved,Consumer,Non-Interest Bearing,93543784
140,5/23/2023,Louisiana,Cherokee Cash,3040,2089976,0,1,535,2,Dean England,Unsecured,-306685,Declined,Consumer,Non-Interest Bearing,76027207
141,10/28/2022,Virginia,Veda Hodge,5208,6547770,2,14,1113,7,Dean England,Unsecured,-1179021,Withdrawn,Consumer,Non-Interest Bearing,89345512
142,3/15/2023,Louisiana,Arsenio Sweet,3507,1622458,5,17,870,6,Dean England,Unsecured,-922045,Approved,Consumer,Non-Interest Bearing,72295518
143,11/24/2021,Hawaii,Judith Hunt,3821,1273319,2,5,286,4,Dean England,Unsecured,-605461,Declined,Consumer,Non-Interest Bearing,74316280
144,12/16/2022,Ohio,Noble Russo,1638,3901862,3,6,257,5,Dean England,Unsecured,-1255325,Withdrawn,Consumer,Non-Interest Bearing,62637319
145,1/27/2022,Connecticut,Rogan Christian,1731,2078608,5,3,341,4,Dean England,Unsecured,-597304,Approved,Consumer,Non-Interest Bearing,98175900
146,8/17/2023,Texas,Armando Beck,3537,5310938,1,9,705,2,Dean England,Unsecured,-647971,Declined,Consumer,Non-Interest Bearing,76398117
147,11/24/2021,Maryland,Hayley Cochran,8817,6767059,3,12,1120,7,Dean England,Unsecured,-1189781,Withdrawn,Consumer,Non-Interest Bearing,59809453
148,3/29/2023,Oregon,Daryl Merritt,2741,5665675,2,5,192,7,Dean England,Unsecured,-1804576,Approved,Consumer,Non-Interest Bearing,72668783
149,5/11/2022,Alaska,Bruno Nunez,8027,6777344,2,16,110,7,Dean England,Unsecured,-704787,Declined,Consumer,Non-Interest Bearing,67789196
150,11/27/2021,Vermont,Vaughan Velasquez,4998,3130037,4,23,197,6,Dean England,Unsecured,-1010272,Withdrawn,Consumer,Non-Interest Bearing,61065283
151,4/1/2022,Alabama,Garrison Kinney,5112,6618106,1,15,874,7,Dean England,Unsecured,-635160,Approved,Consumer,Non-Interest Bearing,72239134
152,2/10/2022,Maine,Evelyn Figueroa,4009,7298915,3,16,213,3,Dean England,Unsecured,-861023,Declined,Consumer,Non-Interest Bearing,78264148
153,4/9/2023,Colorado,Irene Bartlett,2485,7528164,3,14,387,1,Dean England,Unsecured,-1066859,Withdrawn,Consumer,Non-Interest Bearing,63555034
154,1/7/2022,Michigan,Colleen Bishop,9499,5739244,1,8,1262,6,Dean England,Unsecured,-586413,Approved,Consumer,Non-Interest Bearing,60644193
155,8/25/2023,Ohio,Jena Malone,1853,1729263,2,20,735,6,Dean England,Unsecured,-1335866,Declined,Consumer,Non-Interest Bearing,81262029
156,10/8/2022,Delaware,Emerson Thompson,9163,6464704,2,17,966,2,Dean England,Unsecured,-1422297,Withdrawn,Consumer,Non-Interest Bearing,60327998
157,5/3/2022,Delaware,Madonna Vinson,2603,3397779,2,20,587,1,Dean England,Unsecured,-1435131,Approved,Consumer,Non-Interest Bearing,88421467
158,4/15/2022,Washington,Boris Rivera,2854,4565708,0,19,835,0,Dean England,Unsecured,-1537787,Declined,Consumer,Non-Interest Bearing,77053294
159,12/1/2022,Maine,Adam Haley,5756,5267033,4,23,282,8,Dean England,Unsecured,-1094701,Withdrawn,Consumer,Non-Interest Bearing,83856445
160,11/8/2022,Oregon,Hayfa Abbott,1628,6141252,2,14,145,0,Dean England,Unsecured,-1724807,Approved,Consumer,Non-Interest Bearing,60576078
161,1/23/2023,Washington,Kennan Hendricks,1458,1346006,2,24,1185,5,Dean England,Unsecured,-1730013,Declined,Consumer,Non-Interest Bearing,60832893
162,1/24/2023,Alaska,Kirestin Benton,8510,4669977,3,1,1352,1,Dean England,ED Loan,-703701,Withdrawn,Consumer,Non-Interest Bearing,67477958
163,6/4/2022,Ohio,Micah Daniel,3153,5691288,0,20,435,1,Dean England,ED Loan,-1105117,Approved,Consumer,Non-Interest Bearing,98123216
164,4/25/2022,Connecticut,Zephania Wiggins,7921,8112764,5,6,1289,7,Dean England,ED Loan,-1399556,Declined,Consumer,Non-Interest Bearing,66114001
165,5/28/2023,Georgia,William Sargent,7267,8201388,5,15,979,6,Dean England,ED Loan,-455058,Withdrawn,Consumer,Non-Interest Bearing,74492822
166,8/8/2022,Missouri,Nevada Conner,7343,4381395,4,6,1371,2,Dean England,ED Loan,-589366,Approved,Consumer,Non-Interest Bearing,95227788
167,2/8/2023,Maryland,Leilani Murphy,7907,6254385,2,1,852,7,Dean England,ED Loan,-349776,Declined,Consumer,Non-Interest Bearing,63411631
168,3/25/2022,Pennsylvania,Dustin Cochran,6146,5914414,3,8,1301,7,Dean England,ED Loan,-1823402,Withdrawn,Consumer,Non-Interest Bearing,68744942
169,4/13/2022,Arkansas,Petra Bowers,5929,3354022,3,9,1223,2,Dean England,ED Loan,-1661691,Approved,Consumer,Non-Interest Bearing,66771315
170,1/5/2022,Oregon,Scott Beasley,2334,5319973,3,19,1353,4,Dean England,ED Loan,-995095,Declined,Consumer,Non-Interest Bearing,81317007
171,1/28/2023,Idaho,Paki Rollins,8293,4565402,2,4,236,2,Dean England,ED Loan,-1301138,Withdrawn,Consumer,Non-Interest Bearing,61751521
172,10/6/2022,Oklahoma,Macaulay Norton,6569,6150496,1,5,279,3,Dean England,ED Loan,-1057224,Approved,Consumer,Non-Interest Bearing,71206060
173,6/6/2023,Nevada,Breanna Berg,8721,6812623,1,8,953,4,Dean England,ED Loan,-1155479,Declined,Consumer,Non-Interest Bearing,71984371
174,4/7/2022,Georgia,Alan Horn,8598,7855008,3,19,1479,6,Dean England,ED Loan,-340084,Withdrawn,Consumer,Non-Interest Bearing,96963456
175,10/3/2022,Oregon,Francesca Wagner,6647,3869629,2,3,830,2,Dean England,ED Loan,-543603,Approved,Consumer,Non-Interest Bearing,92307254
176,11/28/2021,Wyoming,Acton Perry,1917,4944135,4,1,862,2,Dean England,ED Loan,-478754,Declined,Consumer,Non-Interest Bearing,93372069
